period,title,title_en,venue,venue_en,venue_link,venue_type,paper_link,slide_link,poster_link,award,award_en,is_first_author,is_domestic,bibSrc
2026/3,機械文としての検出されやすさと文章の品質は両立する,Machine-Text Detectability and Task Performance Are Not at Odds,NLP2026,NLP2026,https://anlp.jp/nlp2026/,conference,https://www.anlp.jp/proceedings/annual_meeting/2026/pdf_dir/B2-3.pdf,,https://drive.google.com/file/d/14vqynAhdR2RKLrm1PEMaUXXGR9CEFzpE/view?usp=drive_link,若手奨励賞;スポンサー賞（ELYZA）;スポンサー賞（サイバーエージェント）,Young Researcher’s Encouragement Award;Sponsorship Award (ELYZA);Sponsorship Award (CyberAgent),true,true,data/bibtex_first/nlp2026_puppet.bib
2026/1,Rewriting Pre-Training Data Boosts LLM Performance in Math and Code,Rewriting Pre-Training Data Boosts LLM Performance in Math and Code,ICLR2026,ICLR2026,https://iclr.cc/Conferences/2026,conference,https://openreview.net/forum?id=45btPYgSSX,,,,,false,false,data/bibtex_co/iclr2026_rewriting.bib
2025/10,Why We Build Local Large Language Models: An Observational Analysis from 35 Japanese and Multilingual LLMs,Why We Build Local Large Language Models: An Observational Analysis from 35 Japanese and Multilingual LLMs,MELT(COLM2025),MELT(COLM2025),https://melt-workshop.github.io/,workshop,https://openreview.net/forum?id=Ahj6STNeKM&noteId=Ahj6STNeKM,https://drive.google.com/file/d/1akrLn8c2gZ9sPCOIK2U9ZT1gRa34zD2O/view?usp=sharing,https://drive.google.com/file/d/1QLeMxYtSF0a8q5U5M-rbVXZcB4UyjCID/view?usp=sharing,スポットライト（口頭）,Spotlight (Oral),true,false,data/bibtex_first/melt2025_whywebuild.bib
2025/10,Building Instruction-Tuning Datasets from Human-Written Instructions with Open-Weight Large Language Models,Building Instruction-Tuning Datasets from Human-Written Instructions with Open-Weight Large Language Models,COLM2025,COLM2025,https://colmweb.org/2025/,conference,https://openreview.net/forum?id=6vTv9M9ZAA,,,,,,false,false,data/bibtex_co/colm2025_building.bib
2025/3,PUPPET: タスク性能を維持しながら LLM として検出されやすくする学習フレームワーク,PUPPET: A Training Framework to Make LLMs Detectable While Preserving Task Performance,NLP2025,NLP2025,https://anlp.jp/nlp2025/,conference,https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P7-5.pdf,,https://drive.google.com/file/d/1fKuXyyZWR1BBBhR0dJR6g3IZlBa36CAp/view?usp=sharing,,,true,true,data/bibtex_first/nlp2025_puppet.bib
2025/3,模倣学習による大規模言語モデルの指示チューニング,Instruction Tuning of Large Language Models via Imitation Learning,NLP2025,NLP2025,https://anlp.jp/nlp2025/,conference,https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/Q8-21.pdf,,,,,false,true,data/bibtex_co/nlp2025_building.bib
2025/3,新聞記事からつくる 時事と社会に強い日本語LLM,Building a Japanese LLM Specialized in Current Events Using Newspaper Articles,NLP2025,NLP2025,https://anlp.jp/nlp2025/,conference,https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/C10-1.pdf,,,,,false,true,data/bibtex_co/nlp2025_newspaper.bib
2025/3,Swallowコーパスv2: 教育的な日本語ウェブコーパスの構築,Swallow Corpus v2: Building an Educational Japanese Web Corpus,NLP2025,NLP2025,https://anlp.jp/nlp2025/,conference,https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/C1-5.pdf,,,,,false,true,data/bibtex_co/nlp2025_corpus.bib
2024/9,文生成能力を維持した検出されやすいLLM ~検出器にゴマを擦るLLM~,Detectable LLM While Preserving Text Generation Quality,YANS2024,YANS2024,https://yans.anlp.jp/entry/yans2024,conference,,,https://drive.google.com/file/d/1ruAyWVJ5YPhoS_h6e1opnTn_8oGvwx-x/view?usp=sharing,奨励賞;スポンサー賞（サイバーエージェント）,Encouragement Award;Sponsorship Award (CyberAgent),true,true,data/bibtex_first/yans2025_puppet.bib
2024/9,LLMに日本語テキストを学習させる意義,Why Training LLMs on Japanese Text Matters,第261回NL研,261th IPSJ-SIGNL,https://www.ipsj.or.jp/kenkyukai/event/nl261.html,conference,https://ipsj.ixsq.nii.ac.jp/records/238505,https://speakerdeck.com/ksaito/llmniri-ben-yu-tekisutowoxue-xi-saseruyi-yi,,優秀研究賞;山下記念賞2025,Best paper award;IPSJ Yamashita SIG Research Award 2025,true,true,data/bibtex_first/nl261_whywebuild.bib
